"","group.label"
"781","HG01257.SG"
"782","HG01259.SG"
"783","HG01260.SG"
"784","HG01269.SG"
"785","HG01271.SG"
"786","HG01272.SG"
"787","HG01275.SG"
"788","HG01277.SG"
"789","HG01280.SG"
"790","HG01281.SG"
"791","HG01284.SG"
"792","HG01286.SG"
"793","HG01302.SG"
"794","HG01303.SG"
"795","HG01305.SG"
"796","HG01308.SG"
"797","HG01311.SG"
"798","HG01312.SG"
"799","HG01323.SG"
"800","HG01325.SG"
"801","HG01326.SG"
"802","HG01334.SG"
"803","HG01341.SG"
"804","HG01342.SG"
"805","HG01344.SG"
"806","HG01345.SG"
"807","HG01348.SG"
"808","HG01350.SG"
"809","HG01351.SG"
"810","HG01353.SG"
"811","HG01354.SG"
"812","HG01356.SG"
"813","HG01357.SG"
"814","HG01359.SG"
"815","HG01360.SG"
"816","HG01362.SG"
"817","HG01363.SG"
"818","HG01365.SG"
"819","HG01366.SG"
"820","HG01369.SG"
"821","HG01372.SG"
"822","HG01374.SG"
"823","HG01375.SG"
"824","HG01377.SG"
"825","HG01378.SG"
"826","HG01383.SG"
"827","HG01384.SG"
"828","HG01389.SG"
"829","HG01390.SG"
"830","HG01392.SG"
"831","HG01393.SG"
"832","HG01395.SG"
"833","HG01396.SG"
"834","HG01398.SG"
"835","HG01402.SG"
"836","HG01403.SG"
"837","HG01405.SG"
"838","HG01412.SG"
"839","HG01413.SG"
"840","HG01414.SG"
"841","HG01431.SG"
"842","HG01432.SG"
"843","HG01435.SG"
"844","HG01437.SG"
"845","HG01438.SG"
"846","HG01440.SG"
"847","HG01441.SG"
"848","HG01443.SG"
"849","HG01444.SG"
"850","HG01447.SG"
"851","HG01455.SG"
"852","HG01456.SG"
"853","HG01459.SG"
"854","HG01461.SG"
"855","HG01462.SG"
"856","HG01464.SG"
"857","HG01465.SG"
"858","HG01468.SG"
"859","HG01474.SG"
"860","HG01479.SG"
"861","HG01485.SG"
"862","HG01486.SG"
"863","HG01488.SG"
"864","HG01489.SG"
"865","HG01491.SG"
"866","HG01492.SG"
"867","HG01494.SG"
"868","HG01495.SG"
"869","HG01497.SG"
"870","HG01498.SG"
"871","HG01500.SG"
"872","HG01501.SG"
"873","HG01503.SG"
"874","HG01504.SG"
"875","HG01506.SG"
"876","HG01507.SG"
"877","HG01509.SG"
"878","HG01510.SG"
"879","HG01512.SG"
"880","HG01513.SG"
"881","HG01515.SG"
"882","HG01516.SG"
"883","HG01518.SG"
